Data values,Data description,Year,Row,Column,Authority,Notes
32,£ thousand,2002-03,Total construction,Gross expenditure,Torfaen,
1023,£ thousand,2002-03,Total construction,Gross expenditure,Monmouthshire,
91,£ thousand,2002-03,Total construction,Gross expenditure,Newport,
1113,£ thousand,2002-03,Total construction,Gross expenditure,Cardiff,
6372.2,£ thousand,2002-03,Total construction,Gross expenditure,Total Unitary Authorities,
-67,£ thousand,2002-03,Total construction,"Income from sales, fees and charges",Conwy,
-1399,£ thousand,2002-03,Total construction,"Income from sales, fees and charges",Wrexham,
-1466,£ thousand,2002-03,Total construction,"Income from sales, fees and charges",Total Unitary Authorities,
-110,£ thousand,2002-03,Total construction,Other income (excluding joint arrangements),Gwynedd,
-110,£ thousand,2002-03,Total construction,Other income (excluding joint arrangements),Total Unitary Authorities,
-110,£ thousand,2002-03,Total construction,Total income,Gwynedd,
-67,£ thousand,2002-03,Total construction,Total income,Conwy,
-1399,£ thousand,2002-03,Total construction,Total income,Wrexham,
-1576,£ thousand,2002-03,Total construction,Total income,Total Unitary Authorities,
-7,£ thousand,2002-03,Total construction,Net current expenditure,Gwynedd,
320,£ thousand,2002-03,Total construction,Net current expenditure,Conwy,
21,£ thousand,2002-03,Total construction,Net current expenditure,Flintshire,
430,£ thousand,2002-03,Total construction,Net current expenditure,Wrexham,
1137.2,£ thousand,2002-03,Total construction,Net current expenditure,Powys,
201,£ thousand,2002-03,Total construction,Net current expenditure,Carmarthenshire,
5,£ thousand,2002-03,Total construction,Net current expenditure,Swansea,
244,£ thousand,2002-03,Total construction,Net current expenditure,Vale of Glamorgan,
165,£ thousand,2002-03,Total construction,Net current expenditure,Caerphilly,
21,£ thousand,2002-03,Total construction,Net current expenditure,Blaenau Gwent,
32,£ thousand,2002-03,Total construction,Net current expenditure,Torfaen,
1023,£ thousand,2002-03,Total construction,Net current expenditure,Monmouthshire,
91,£ thousand,2002-03,Total construction,Net current expenditure,Newport,
1113,£ thousand,2002-03,Total construction,Net current expenditure,Cardiff,
4796.2,£ thousand,2002-03,Total construction,Net current expenditure,Total Unitary Authorities,
57,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Gwynedd,
295,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Conwy,
1210,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Wrexham,
1137.2,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Powys,
15,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Vale of Glamorgan,
254,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Monmouthshire,
91,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Newport,
428,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Cardiff,
3487.2,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Direct spend (employee costs and running costs),Total Unitary Authorities,
9,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Gwynedd,
8,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Conwy,
171,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Wrexham,
